seeding matchup,opponent
No. 9 vs No. 8,79
No. 11 vs No. 6,60
No. 10 vs No. 7,60
No. 12 vs No. 5,51
No. 5 vs No. 4,37
No. 6 vs No. 3,32
No. 13 vs No. 4,30
No. 2 vs No. 1,29
No. 7 vs No. 2,27
No. 3 vs No. 2,24
No. 4 vs No. 1,22
No. 14 vs No. 3,22
No. 11 vs No. 3,19
No. 10 vs No. 2,19
No. 8 vs No. 1,17
No. 15 vs No. 2,11
No. 3 vs No. 1,11
No. 12 vs No. 4,11
No. 5 vs No. 1,10
No. 6 vs No. 2,8
No. 7 vs No. 3,7
No. 9 vs No. 1,6
No. 8 vs No. 4,6
No. 8 vs No. 2,6
No. 5 vs No. 2,5
No. 4 vs No. 2,5
No. 6 vs No. 1,5
No. 15 vs No. 7,4
No. 4 vs No. 3,4
No. 7 vs No. 4,4
No. 11 vs No. 7,4
No. 11 vs No. 1,4
No. 11 vs No. 2,3
No. 13 vs No. 12,3
No. 10 vs No. 3,3
No. 13 vs No. 5,3
No. 8 vs No. 5,3
No. 10 vs No. 6,3
No. 6 vs No. 4,3
No. 16 vs No. 1,2
No. 9 vs No. 4,2
No. 9 vs No. 5,2
No. 11 vs No. 10,2
No. 8 vs No. 7,2
No. 7 vs No. 6,2
No. 14 vs No. 6,2
No. 9 vs No. 3,1
No. 11 vs No. 9,1
No. 15 vs No. 3,1
No. 12 vs No. 8,1
No. 9 vs No. 2,1
No. 7 vs No. 1,1
No. 10 vs No. 1,1
No. 5 vs No. 3,1
No. 8 vs No. 6,1
